Facies,Formation,Well Name,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS,Facies_Label
2,B2 SH,SHANKLE,2869.0,63.21,0.767,0.3,9.5,3.5,1,0.324,CSiS
2,B2 SH,SHANKLE,2869.5,56.18,0.799,2.0,5.64,3.6,1,0.294,CSiS
2,B2 SH,SHANKLE,2870.0,60.86,0.798,2.6,6.47,3.5,1,0.176,CSiS
2,B2 SH,SHANKLE,2870.5,67.52,0.712,5.3,9.15,3.2,1,0.147,CSiS
2,B2 SH,SHANKLE,2871.0,68.79,0.619,11.5,17.22,2.8,1,0.118,CSiS
3,B2 SH,SHANKLE,2871.5,76.18,0.54,1.2,32.92,2.4,1,0.088,FSiS
3,B2 SH,SHANKLE,2872.0,74.5,0.486,-2.1,38.485,2.2,1,0.059,FSiS
3,B2 SH,SHANKLE,2872.5,63.06,0.464,-4.1,36.14,2.5,1,0.029,FSiS
6,B2 LM,SHANKLE,2873.0,40.97,0.47,2.2,25.745,3.2,2,1.0,WS
6,B2 LM,SHANKLE,2873.5,35.02,0.481,2.2,17.06,3.5,2,0.857,WS
6,B2 LM,SHANKLE,2874.0,30.28,0.498,-1.7,10.485,4.1,2,0.714,WS
6,B2 LM,SHANKLE,2874.5,27.63,0.524,-3.1,5.835,4.8,2,0.571,WS
6,B2 LM,SHANKLE,2875.0,28.84,0.567,-1.3,3.865,4.7,2,0.429,WS
6,B2 LM,SHANKLE,2875.5,34.92,0.643,1.9,4.385,4.0,2,0.286,WS
6,B2 LM,SHANKLE,2876.0,46.06,0.732,5.2,6.805,3.5,2,0.143,WS
3,B3 SH,SHANKLE,2876.5,60.36,0.793,9.5,9.275,3.4,1,1.0,FSiS
3,B3 SH,SHANKLE,2877.0,79.94,0.804,12.1,10.99,3.3,1,0.977,FSiS
3,B3 SH,SHANKLE,2877.5,81.32,0.779,13.0,11.5,3.5,1,0.955,FSiS
3,B3 SH,SHANKLE,2878.0,80.39,0.738,10.7,10.86,3.5,1,0.932,FSiS
3,B3 SH,SHANKLE,2878.5,77.93,0.702,8.6,10.29,3.4,1,0.909,FSiS
3,B3 SH,SHANKLE,2879.0,75.73,0.679,6.8,9.89,3.3,1,0.886,FSiS
2,B3 SH,SHANKLE,2879.5,66.0,0.669,6.5,9.98,3.3,1,0.864,CSiS
2,B3 SH,SHANKLE,2880.0,74.79,0.666,5.8,9.985,3.5,1,0.841,CSiS
2,B3 SH,SHANKLE,2880.5,64.77,0.665,4.6,9.89,3.6,1,0.818,CSiS
2,B3 SH,SHANKLE,2881.0,62.9,0.659,3.9,10.335,3.5,1,0.795,CSiS
2,B3 SH,SHANKLE,2881.5,64.65,0.646,4.8,11.02,3.3,1,0.773,CSiS
2,B3 SH,SHANKLE,2882.0,63.61,0.625,6.2,11.625,3.0,1,0.75,CSiS
3,B3 SH,SHANKLE,2882.5,79.7,0.591,6.8,11.865,2.8,1,0.727,FSiS
3,B3 SH,SHANKLE,2883.0,80.43,0.544,6.1,11.935,2.8,1,0.705,FSiS
3,B3 SH,SHANKLE,2883.5,78.5,0.498,7.3,12.61,2.7,1,0.682,FSiS
2,B3 SH,SHANKLE,2884.0,67.3,0.456,8.3,14.11,2.7,1,0.659,CSiS
2,B3 SH,SHANKLE,2884.5,64.18,0.418,7.6,15.635,2.7,1,0.636,CSiS
2,B3 SH,SHANKLE,2885.0,55.59,0.387,6.5,16.275,2.6,1,0.614,CSiS
2,B3 SH,SHANKLE,2885.5,61.6,0.362,5.1,16.055,2.7,1,0.591,CSiS
2,B3 SH,SHANKLE,2886.0,59.33,0.346,5.8,15.965,2.7,1,0.568,CSiS
2,B3 SH,SHANKLE,2886.5,63.11,0.348,6.4,15.65,2.8,1,0.545,CSiS
2,B3 SH,SHANKLE,2887.0,62.47,0.358,7.7,15.31,3.0,1,0.523,CSiS
2,B3 SH,SHANKLE,2887.5,69.97,0.358,7.7,14.55,3.1,1,0.5,CSiS
2,B3 SH,SHANKLE,2888.0,71.32,0.358,8.0,14.36,3.3,1,0.477,CSiS
2,B3 SH,SHANKLE,2888.5,71.32,0.358,8.0,14.36,3.3,1,0.477,CSiS
2,B3 SH,SHANKLE,2889.0,72.08,0.358,8.6,14.54,3.1,1,0.455,CSiS
2,B3 SH,SHANKLE,2889.5,72.65,0.356,9.8,15.115,2.9,1,0.432,CSiS
2,B3 SH,SHANKLE,2890.0,69.38,0.354,8.1,15.995,2.7,1,0.409,CSiS
2,B3 SH,SHANKLE,2890.5,63.68,0.348,5.7,17.015,2.7,1,0.386,CSiS
2,B3 SH,SHANKLE,2891.0,63.96,0.328,5.1,17.755,2.6,1,0.364,CSiS
2,B3 SH,SHANKLE,2891.5,61.06,0.305,4.9,18.465,2.6,1,0.341,CSiS
2,B3 SH,SHANKLE,2892.0,68.77,0.286,5.3,19.315,2.5,1,0.318,CSiS
2,B3 SH,SHANKLE,2892.5,69.94,0.274,5.0,20.22,2.6,1,0.295,CSiS
1,B3 SH,SHANKLE,2893.0,68.94,0.27,4.6,20.435,2.6,1,0.273,SS
1,B3 SH,SHANKLE,2893.5,68.13,0.279,3.8,20.185,2.7,1,0.25,SS
1,B3 SH,SHANKLE,2894.0,69.83,0.301,3.1,19.13,2.6,1,0.227,SS
1,B3 SH,SHANKLE,2894.5,69.72,0.326,2.3,18.115,2.6,1,0.205,SS
1,B3 SH,SHANKLE,2895.0,79.64,0.35,3.0,16.33,2.7,1,0.182,SS
2,B3 SH,SHANKLE,2895.5,83.41,0.367,5.6,14.845,3.0,1,0.159,CSiS
3,B3 SH,SHANKLE,2896.0,85.63,0.386,7.6,14.515,2.6,1,0.136,FSiS
3,B3 SH,SHANKLE,2896.5,88.6,0.412,5.2,18.02,2.5,1,0.114,FSiS
3,B3 SH,SHANKLE,2897.0,81.3,0.453,-5.5,25.095,2.2,1,0.091,FSiS
3,B3 SH,SHANKLE,2897.5,81.46,0.505,-12.1,35.24,2.0,1,0.068,FSiS
2,B4 SH,SHANKLE,2899.5,67.06,0.607,-13.2,25.315,3.2,1,0.979,CSiS
2,B4 SH,SHANKLE,2900.0,63.21,0.607,-0.6,16.415,3.1,1,0.958,CSiS
2,B4 SH,SHANKLE,2900.5,62.1,0.607,0.7,15.25,2.9,1,0.938,CSiS
1,B4 SH,SHANKLE,2901.0,59.12,0.599,-1.9,15.465,2.8,1,0.917,SS
1,B4 SH,SHANKLE,2901.5,53.43,0.58,1.5,12.685,2.9,1,0.896,SS
1,B4 SH,SHANKLE,2902.0,55.43,0.556,3.9,11.32,3.0,1,0.875,SS
1,B4 SH,SHANKLE,2902.5,50.01,0.528,2.1,12.39,3.0,1,0.854,SS
1,B4 SH,SHANKLE,2903.0,54.96,0.493,1.2,12.93,2.9,1,0.833,SS
1,B4 SH,SHANKLE,2903.5,56.29,0.456,0.7,13.1,2.8,1,0.813,SS
1,B4 SH,SHANKLE,2904.0,57.56,0.425,1.3,13.6,2.9,1,0.792,SS
1,B4 SH,SHANKLE,2904.5,59.71,0.396,0.8,13.875,2.9,1,0.771,SS
1,B4 SH,SHANKLE,2905.0,59.88,0.371,1.2,14.2,2.9,1,0.75,SS
1,B4 SH,SHANKLE,2905.5,62.44,0.352,1.5,14.5,2.7,1,0.729,SS
1,B4 SH,SHANKLE,2906.0,65.13,0.342,1.4,15.285,2.7,1,0.708,SS
1,B4 SH,SHANKLE,2906.5,60.4,0.338,1.2,15.91,2.7,1,0.688,SS
1,B4 SH,SHANKLE,2907.0,63.4,0.346,0.1,15.585,2.8,1,0.667,SS
1,B4 SH,SHANKLE,2907.5,65.4,0.358,1.4,14.44,2.8,1,0.646,SS
1,B4 SH,SHANKLE,2908.0,60.44,0.371,3.0,13.57,2.9,1,0.625,SS
1,B4 SH,SHANKLE,2908.5,71.83,0.384,5.6,13.74,2.8,1,0.604,SS
1,B4 SH,SHANKLE,2909.0,78.1,0.389,7.1,14.31,2.8,1,0.583,SS
1,B4 SH,SHANKLE,2909.5,82.34,0.386,7.7,14.44,2.7,1,0.563,SS
1,B4 SH,SHANKLE,2910.0,85.94,0.384,7.7,14.25,2.7,1,0.542,SS
1,B4 SH,SHANKLE,2910.5,71.56,0.38,8.2,14.51,2.7,1,0.521,SS
1,B4 SH,SHANKLE,2911.0,69.26,0.373,7.2,15.655,2.7,1,0.5,SS
1,B4 SH,SHANKLE,2911.5,65.79,0.365,6.0,16.385,2.8,1,0.479,SS
1,B4 SH,SHANKLE,2912.0,58.76,0.354,3.5,16.94,2.7,1,0.458,SS
1,B4 SH,SHANKLE,2912.5,60.11,0.342,1.3,17.025,2.6,1,0.438,SS
1,B4 SH,SHANKLE,2913.0,62.0,0.344,0.3,17.325,2.6,1,0.417,SS
1,B4 SH,SHANKLE,2913.5,61.56,0.354,0.6,17.815,2.8,1,0.396,SS
1,B4 SH,SHANKLE,2914.0,58.39,0.362,1.3,18.575,2.7,1,0.375,SS
1,B4 SH,SHANKLE,2914.5,62.03,0.362,-0.8,18.52,2.6,1,0.354,SS
1,B4 SH,SHANKLE,2915.0,58.92,0.348,-1.6,17.575,2.6,1,0.333,SS
1,B4 SH,SHANKLE,2915.5,62.43,0.324,-0.2,16.275,2.6,1,0.313,SS
1,B4 SH,SHANKLE,2916.0,63.32,0.292,4.0,16.375,2.7,1,0.292,SS
1,B4 SH,SHANKLE,2916.5,64.42,0.262,5.9,17.115,2.8,1,0.271,SS
2,B4 SH,SHANKLE,2917.0,63.11,0.243,5.9,18.435,2.8,1,0.25,CSiS
2,B4 SH,SHANKLE,2917.5,63.11,0.243,5.9,18.435,2.8,1,0.25,CSiS
2,B4 SH,SHANKLE,2918.0,68.73,0.236,4.7,18.565,2.8,1,0.229,CSiS
2,B4 SH,SHANKLE,2918.5,68.82,0.243,3.7,18.135,3.0,1,0.208,CSiS
2,B4 SH,SHANKLE,2919.0,63.27,0.258,3.9,16.665,3.1,1,0.188,CSiS
2,B4 SH,SHANKLE,2919.5,63.95,0.279,5.0,15.155,3.3,1,0.167,CSiS
2,B4 SH,SHANKLE,2920.0,73.72,0.301,7.0,13.77,3.2,1,0.146,CSiS
2,B4 SH,SHANKLE,2920.5,70.47,0.324,8.1,14.83,2.4,1,0.125,CSiS
3,B4 SH,SHANKLE,2921.0,78.62,0.354,0.5,24.675,2.1,1,0.104,FSiS
3,B4 SH,SHANKLE,2921.5,81.91,0.398,-9.6,35.2,1.9,1,0.083,FSiS
3,B4 SH,SHANKLE,2922.0,77.68,0.459,-6.8,44.645,1.9,1,0.063,FSiS
3,B4 SH,SHANKLE,2922.5,74.51,0.538,-7.4,51.805,2.0,1,0.042,FSiS
3,B4 SH,SHANKLE,2923.0,66.9,0.605,-13.0,46.795,2.0,1,0.021,FSiS
6,B4 LM,SHANKLE,2924.0,26.06,0.725,-12.9,16.17,4.4,1,0.857,WS
6,B4 LM,SHANKLE,2924.5,20.73,0.796,3.7,4.785,4.1,2,0.714,WS
6,B4 LM,SHANKLE,2925.0,18.4,0.876,7.6,4.555,3.7,2,0.571,WS
6,B4 LM,SHANKLE,2925.5,20.07,0.941,9.7,6.745,3.3,2,0.429,WS
6,B4 LM,SHANKLE,2926.0,20.85,0.903,7.7,9.415,3.4,2,0.286,WS
6,B4 LM,SHANKLE,2926.5,24.51,0.809,4.3,11.98,2.5,2,0.143,WS
3,B5 SH,SHANKLE,2927.0,37.82,0.722,-0.1,19.085,2.2,1,1.0,FSiS
3,B5 SH,SHANKLE,2930.0,79.36,0.47,-6.0,35.77,2.4,1,0.45,FSiS
3,B5 SH,SHANKLE,2930.5,78.41,0.468,-6.4,33.73,2.6,1,0.4,FSiS
3,B5 SH,SHANKLE,2931.0,70.0,0.453,-8.4,31.445,2.6,1,0.35,FSiS
3,B5 SH,SHANKLE,2931.5,67.67,0.43,-9.9,31.45,2.7,1,0.3,FSiS
3,B5 SH,SHANKLE,2932.0,67.38,0.391,-7.6,30.565,2.6,1,0.25,FSiS
3,B5 SH,SHANKLE,2932.5,70.08,0.34,-2.9,33.215,2.5,1,0.2,FSiS
3,B5 SH,SHANKLE,2933.0,72.4,0.29,-0.2,39.915,2.3,1,0.15,FSiS
3,B5 SH,SHANKLE,2933.5,70.73,0.241,-4.0,41.445,2.3,1,0.1,FSiS
3,B5 SH,SHANKLE,2934.0,65.14,0.193,-1.9,37.005,2.6,1,0.05,FSiS
7,B5 LM,SHANKLE,2934.5,52.05,0.152,5.9,29.525,2.9,2,1.0,Dol
7,B5 LM,SHANKLE,2935.0,30.56,0.121,12.2,27.265,3.0,2,0.958,Dol
7,B5 LM,SHANKLE,2935.5,25.47,0.097,10.8,27.915,3.0,2,0.917,Dol
7,B5 LM,SHANKLE,2936.0,25.34,0.093,6.4,27.115,3.0,2,0.875,Dol
7,B5 LM,SHANKLE,2936.5,31.3,0.111,3.8,26.515,3.0,2,0.833,Dol
7,B5 LM,SHANKLE,2937.0,45.23,0.146,3.6,24.38,3.0,2,0.792,Dol
7,B5 LM,SHANKLE,2937.5,53.09,0.196,4.7,22.525,3.0,2,0.75,Dol
7,B5 LM,SHANKLE,2938.0,53.66,0.255,2.1,19.515,3.1,2,0.708,Dol
7,B5 LM,SHANKLE,2938.5,48.3,0.318,-1.1,16.71,3.4,2,0.667,Dol
8,B5 LM,SHANKLE,2939.0,47.58,0.386,-1.3,14.275,4.0,2,0.625,PS
8,B5 LM,SHANKLE,2939.5,44.54,0.456,0.5,12.48,4.2,2,0.583,PS
8,B5 LM,SHANKLE,2940.0,45.57,0.531,1.6,11.42,4.3,2,0.542,PS
8,B5 LM,SHANKLE,2940.5,49.17,0.607,1.0,10.82,4.3,2,0.5,PS
8,B5 LM,SHANKLE,2941.0,58.97,0.68,0.6,10.535,4.4,2,0.458,PS
8,B5 LM,SHANKLE,2941.5,78.86,0.744,0.7,10.32,4.6,2,0.417,PS
8,B5 LM,SHANKLE,2942.0,100.24,0.797,1.4,10.38,4.7,2,0.375,PS
8,B5 LM,SHANKLE,2942.5,97.94,0.842,0.8,10.56,4.8,2,0.333,PS
8,B5 LM,SHANKLE,2943.0,94.67,0.881,-0.5,10.57,4.7,2,0.292,PS
8,B5 LM,SHANKLE,2943.5,78.63,0.914,-1.0,10.18,4.7,2,0.25,PS
8,B5 LM,SHANKLE,2944.0,97.99,0.932,-1.9,9.31,4.7,2,0.208,PS
8,B5 LM,SHANKLE,2944.5,130.86,0.921,-2.5,8.1,4.9,2,0.167,PS
8,B5 LM,SHANKLE,2945.0,167.9,0.883,-0.8,6.22,4.5,2,0.125,PS
8,B5 LM,SHANKLE,2945.5,191.7,0.822,4.2,5.195,3.8,2,0.083,PS
3,C SH,SHANKLE,2946.0,149.65,0.711,-5.9,24.32,2.3,1,1.0,FSiS
3,C SH,SHANKLE,2948.0,75.83,0.571,-9.4,34.61,2.8,1,0.93,FSiS
3,C SH,SHANKLE,2948.5,66.28,0.56,2.5,28.99,2.7,1,0.912,FSiS
3,C SH,SHANKLE,2949.0,69.44,0.567,-0.2,27.455,2.6,1,0.895,FSiS
3,C SH,SHANKLE,2949.5,69.67,0.584,-1.6,24.68,2.6,1,0.877,FSiS
3,C SH,SHANKLE,2950.0,72.32,0.609,-2.1,21.265,2.9,1,0.86,FSiS
3,C SH,SHANKLE,2950.5,72.26,0.634,5.3,16.795,3.2,1,0.842,FSiS
3,C SH,SHANKLE,2951.0,66.6,0.652,8.9,13.99,3.3,1,0.825,FSiS
3,C SH,SHANKLE,2951.5,66.67,0.659,10.7,14.42,3.2,1,0.807,FSiS
3,C SH,SHANKLE,2952.0,67.49,0.661,9.3,15.755,3.2,1,0.789,FSiS
3,C SH,SHANKLE,2952.5,69.17,0.657,6.3,17.91,3.0,1,0.772,FSiS
3,C SH,SHANKLE,2953.0,67.63,0.649,6.3,17.22,3.2,1,0.754,FSiS
3,C SH,SHANKLE,2953.5,74.65,0.639,7.1,16.125,3.1,1,0.737,FSiS
3,C SH,SHANKLE,2954.0,69.34,0.626,6.4,16.405,3.1,1,0.719,FSiS
3,C SH,SHANKLE,2954.5,67.71,0.616,3.6,17.57,2.9,1,0.702,FSiS
3,C SH,SHANKLE,2955.0,69.85,0.61,2.9,18.53,3.0,1,0.684,FSiS
3,C SH,SHANKLE,2955.5,72.99,0.606,6.6,17.785,3.0,1,0.667,FSiS
3,C SH,SHANKLE,2956.0,72.73,0.605,3.5,21.265,2.8,1,0.649,FSiS
3,C SH,SHANKLE,2956.5,71.24,0.606,-3.0,23.97,2.8,1,0.632,FSiS
3,C SH,SHANKLE,2957.0,65.18,0.607,-1.1,24.32,3.3,1,0.614,FSiS
3,C SH,SHANKLE,2957.5,76.51,0.61,3.1,23.925,3.3,1,0.596,FSiS
3,C SH,SHANKLE,2958.0,72.51,0.615,0.3,27.215,3.1,1,0.579,FSiS
3,C SH,SHANKLE,2958.5,73.66,0.622,-8.0,30.125,2.7,1,0.561,FSiS
3,C SH,SHANKLE,2959.0,72.96,0.627,-12.3,29.985,2.5,1,0.544,FSiS
3,C SH,SHANKLE,2959.5,66.05,0.628,-9.4,26.215,2.8,1,0.526,FSiS
3,C SH,SHANKLE,2960.0,75.61,0.624,-1.1,21.255,3.1,1,0.509,FSiS
3,C SH,SHANKLE,2960.5,68.69,0.621,6.8,16.645,3.3,1,0.491,FSiS
3,C SH,SHANKLE,2961.0,67.49,0.621,5.2,17.925,3.0,1,0.474,FSiS
3,C SH,SHANKLE,2961.5,71.32,0.62,2.0,18.325,2.9,1,0.456,FSiS
3,C SH,SHANKLE,2962.0,69.16,0.616,3.5,16.405,3.1,1,0.439,FSiS
3,C SH,SHANKLE,2962.5,72.18,0.611,5.7,15.525,3.3,1,0.421,FSiS
3,C SH,SHANKLE,2963.0,67.16,0.606,4.4,16.48,3.2,1,0.404,FSiS
3,C SH,SHANKLE,2963.5,72.36,0.606,1.5,18.61,3.2,1,0.386,FSiS
3,C SH,SHANKLE,2964.0,76.08,0.614,0.8,19.615,3.1,1,0.368,FSiS
3,C SH,SHANKLE,2964.5,75.85,0.626,1.8,21.045,2.9,1,0.351,FSiS
3,C SH,SHANKLE,2965.0,72.11,0.633,-3.6,22.505,2.7,1,0.333,FSiS
3,C SH,SHANKLE,2965.5,73.8,0.635,-9.0,22.545,2.9,1,0.316,FSiS
3,C SH,SHANKLE,2966.0,71.57,0.636,-5.1,17.625,3.3,1,0.298,FSiS
3,C SH,SHANKLE,2966.5,71.38,0.629,1.0,14.06,3.6,1,0.281,FSiS
3,C SH,SHANKLE,2967.0,72.44,0.622,6.2,14.855,3.1,1,0.263,FSiS
3,C SH,SHANKLE,2967.5,74.87,0.622,5.8,19.845,2.8,1,0.246,FSiS
3,C SH,SHANKLE,2968.0,76.01,0.621,-2.7,23.955,2.4,1,0.228,FSiS
3,C SH,SHANKLE,2968.5,76.11,0.618,-9.0,25.4,3.0,1,0.211,FSiS
3,C SH,SHANKLE,2969.0,76.47,0.624,-3.5,24.095,3.3,1,0.193,FSiS
3,C SH,SHANKLE,2969.5,70.18,0.628,-5.4,24.15,3.2,1,0.175,FSiS
3,C SH,SHANKLE,2970.0,71.13,0.623,-10.2,24.425,2.9,1,0.158,FSiS
3,C SH,SHANKLE,2970.5,74.62,0.612,-13.2,21.35,2.9,1,0.14,FSiS
3,C SH,SHANKLE,2971.0,75.04,0.597,-3.6,17.66,2.9,1,0.123,FSiS
3,C SH,SHANKLE,2971.5,71.03,0.576,7.1,16.71,2.5,1,0.105,FSiS
3,C SH,SHANKLE,2972.0,79.47,0.575,-9.8,35.285,2.1,1,0.088,FSiS
3,C SH,SHANKLE,2972.5,76.72,0.603,-9.9,51.3,1.8,1,0.07,FSiS
3,C SH,SHANKLE,2973.0,75.01,0.654,-18.3,55.915,1.8,1,0.053,FSiS
6,C LM,SHANKLE,2974.5,19.52,0.7,1.0,9.78,4.6,2,0.985,WS
8,C LM,SHANKLE,2975.0,28.87,0.721,8.8,9.73,4.0,2,0.97,PS
8,C LM,SHANKLE,2975.5,29.43,0.781,9.1,11.93,3.6,2,0.955,PS
8,C LM,SHANKLE,2976.0,29.4,0.825,7.9,12.695,3.5,2,0.94,PS
8,C LM,SHANKLE,2976.5,31.05,0.837,6.4,11.9,3.6,2,0.925,PS
8,C LM,SHANKLE,2977.0,35.29,0.818,6.4,10.875,3.7,2,0.91,PS
5,C LM,SHANKLE,2977.5,32.75,0.778,3.5,9.39,3.8,2,0.896,MS
5,C LM,SHANKLE,2978.0,35.61,0.738,3.0,8.16,3.9,2,0.881,MS
5,C LM,SHANKLE,2978.5,36.27,0.705,5.0,7.4,3.6,2,0.866,MS
5,C LM,SHANKLE,2979.0,36.51,0.67,7.7,8.56,3.2,2,0.851,MS
5,C LM,SHANKLE,2979.5,35.86,0.633,8.6,10.67,2.9,2,0.836,MS
7,C LM,SHANKLE,2980.0,33.77,0.599,8.1,12.535,2.9,2,0.821,Dol
7,C LM,SHANKLE,2980.5,28.53,0.567,7.7,13.935,2.9,2,0.806,Dol
7,C LM,SHANKLE,2981.0,29.12,0.539,6.0,14.68,2.9,2,0.791,Dol
7,C LM,SHANKLE,2981.5,29.54,0.519,4.2,14.81,2.8,2,0.776,Dol
7,C LM,SHANKLE,2982.0,29.95,0.516,2.4,13.68,2.8,2,0.761,Dol
7,C LM,SHANKLE,2982.5,29.36,0.529,1.7,12.36,3.0,2,0.746,Dol
7,C LM,SHANKLE,2983.0,34.62,0.558,1.9,10.51,3.3,2,0.731,Dol
7,C LM,SHANKLE,2983.5,32.74,0.605,2.0,9.08,3.3,2,0.716,Dol
6,C LM,SHANKLE,2984.0,38.04,0.666,1.7,8.405,3.2,2,0.701,WS
6,C LM,SHANKLE,2984.5,39.18,0.728,1.5,8.235,3.2,2,0.687,WS
6,C LM,SHANKLE,2985.0,39.55,0.792,1.9,8.035,3.3,2,0.672,WS
6,C LM,SHANKLE,2985.5,37.83,0.846,2.3,7.68,3.4,2,0.657,WS
6,C LM,SHANKLE,2986.0,35.09,0.884,2.8,7.775,3.4,2,0.642,WS
6,C LM,SHANKLE,2986.5,38.17,0.905,3.8,7.92,3.6,2,0.627,WS
6,C LM,SHANKLE,2987.0,37.4,0.913,3.9,8.16,3.3,2,0.612,WS
6,C LM,SHANKLE,2987.5,36.2,0.913,2.6,8.54,3.4,2,0.597,WS
6,C LM,SHANKLE,2988.0,38.73,0.91,2.4,8.6,3.4,2,0.582,WS
6,C LM,SHANKLE,2988.5,36.86,0.908,1.9,8.9,3.5,2,0.567,WS
6,C LM,SHANKLE,2989.0,38.24,0.905,2.0,8.845,3.4,2,0.552,WS
6,C LM,SHANKLE,2989.5,36.1,0.901,1.6,8.5,3.4,2,0.537,WS
6,C LM,SHANKLE,2990.0,38.5,0.897,2.6,8.25,3.3,2,0.522,WS
6,C LM,SHANKLE,2990.5,35.87,0.89,3.0,8.42,3.4,2,0.507,WS
6,C LM,SHANKLE,2991.0,37.2,0.884,3.6,8.495,3.3,2,0.493,WS
6,C LM,SHANKLE,2991.5,39.89,0.88,3.1,8.695,3.6,2,0.478,WS
6,C LM,SHANKLE,2992.0,40.73,0.876,2.9,8.505,3.7,2,0.463,WS
6,C LM,SHANKLE,2992.5,41.81,0.873,2.0,8.845,3.7,2,0.448,WS
6,C LM,SHANKLE,2993.0,44.47,0.872,1.9,8.74,3.5,2,0.433,WS
6,C LM,SHANKLE,2993.5,43.87,0.87,1.9,8.715,3.4,2,0.418,WS
6,C LM,SHANKLE,2994.0,47.4,0.872,2.4,8.375,3.5,2,0.403,WS
6,C LM,SHANKLE,2994.5,48.75,0.875,2.6,8.47,3.6,2,0.388,WS
6,C LM,SHANKLE,2995.0,53.77,0.877,3.1,8.2,3.6,2,0.373,WS
6,C LM,SHANKLE,2995.5,65.61,0.88,3.2,8.555,3.7,2,0.358,WS
5,C LM,SHANKLE,2996.0,79.98,0.884,3.0,8.435,3.8,2,0.343,MS
5,C LM,SHANKLE,2996.5,115.6,0.885,3.6,8.76,3.9,2,0.328,MS
5,C LM,SHANKLE,2997.0,201.75,0.887,3.9,8.645,4.1,2,0.313,MS
5,C LM,SHANKLE,2997.5,242.75,0.889,4.9,8.42,4.1,2,0.299,MS
5,C LM,SHANKLE,2998.0,238.02,0.893,5.1,8.515,4.3,2,0.284,MS
5,C LM,SHANKLE,2998.5,215.23,0.899,5.7,8.31,4.2,2,0.269,MS
5,C LM,SHANKLE,2999.0,168.12,0.907,5.6,8.545,4.2,2,0.254,MS
5,C LM,SHANKLE,2999.5,124.8,0.919,5.2,8.855,3.9,2,0.239,MS
5,C LM,SHANKLE,3000.0,102.74,0.932,4.6,8.915,4.0,2,0.224,MS
5,C LM,SHANKLE,3000.5,102.74,0.932,4.6,8.915,4.0,2,0.224,MS
5,C LM,SHANKLE,3001.0,81.37,0.941,4.3,8.86,4.1,2,0.209,MS
5,C LM,SHANKLE,3001.5,70.46,0.943,4.2,8.675,4.2,2,0.194,MS
5,C LM,SHANKLE,3002.0,67.29,0.943,4.9,9.365,4.1,2,0.179,MS
5,C LM,SHANKLE,3002.5,67.61,0.939,5.6,9.555,4.1,2,0.164,MS
4,C LM,SHANKLE,3003.0,68.63,0.941,5.8,9.585,4.1,2,0.149,SiSh
4,C LM,SHANKLE,3003.5,68.45,0.957,6.9,9.95,4.3,2,0.134,SiSh
4,C LM,SHANKLE,3004.0,73.25,0.996,8.4,10.39,4.4,2,0.119,SiSh
4,C LM,SHANKLE,3004.5,73.21,1.039,7.7,9.95,4.5,2,0.104,SiSh
8,C LM,SHANKLE,3005.0,76.24,1.084,4.0,7.9,4.6,2,0.09,PS
8,C LM,SHANKLE,3005.5,52.57,1.118,-0.4,5.215,4.8,2,0.075,PS
8,C LM,SHANKLE,3006.0,32.84,1.12,-2.2,3.455,5.1,2,0.06,PS
8,C LM,SHANKLE,3006.5,25.16,1.112,-1.6,2.89,4.8,2,0.045,PS
8,C LM,SHANKLE,3007.0,25.16,1.112,-1.6,2.89,4.8,2,0.03,PS
4,C LM,SHANKLE,3007.5,26.22,1.092,-0.4,3.4,4.5,2,0.03,SiSh
4,C LM,SHANKLE,3008.0,65.36,1.026,1.6,4.715,4.5,2,0.015,SiSh
3,A1 SH,LUKE G U,2610.5,74.9,0.782,9.3,11.75,4.084,1,1.0,FSiS
3,A1 SH,LUKE G U,2611.0,83.8,0.745,12.0,13.1,3.501,1,0.981,FSiS
3,A1 SH,LUKE G U,2611.5,86.97,0.726,12.9,12.55,3.4,1,0.962,FSiS
3,A1 SH,LUKE G U,2612.0,84.43,0.708,13.2,12.0,3.4,1,0.943,FSiS
3,A1 SH,LUKE G U,2612.5,78.51,0.708,11.8,11.4,3.4,1,0.925,FSiS
3,A1 SH,LUKE G U,2613.0,73.88,0.708,11.3,11.55,3.5,1,0.906,FSiS
2,A1 SH,LUKE G U,2613.5,71.61,0.717,11.5,11.25,3.6,1,0.887,CSiS
2,A1 SH,LUKE G U,2614.0,69.86,0.726,11.7,11.05,3.7,1,0.868,CSiS
2,A1 SH,LUKE G U,2614.5,69.25,0.736,11.1,10.65,3.7,1,0.849,CSiS
2,A1 SH,LUKE G U,2615.0,68.29,0.726,8.6,9.7,3.7,1,0.83,CSiS
2,A1 SH,LUKE G U,2615.5,68.5,0.717,7.8,9.8,3.7,1,0.811,CSiS
2,A1 SH,LUKE G U,2616.0,73.65,0.675,6.3,10.65,3.5,1,0.792,CSiS
2,A1 SH,LUKE G U,2616.5,92.68,0.567,9.2,13.2,3.3,1,0.774,CSiS
2,A1 SH,LUKE G U,2617.0,107.22,0.483,11.3,15.75,3.3,1,0.755,CSiS
2,A1 SH,LUKE G U,2617.5,132.81,0.436,16.7,19.65,3.4,1,0.736,CSiS
2,A1 SH,LUKE G U,2618.0,151.94,0.399,0.0,29.9,3.6,1,0.717,CSiS
